Time(s),Steer(deg),Speed(km/h),YawRate(deg/s),Sideslip(deg),LatG,PosX(m),PosY(m)
1.42000,6.00000,60.00000,42.62459,-1.83840,1.26528,23.31773,3.05409
1.43000,6.00000,60.00000,42.62445,-1.83798,1.26517,23.46226,3.13709
1.44000,6.00000,60.00000,42.62451,-1.83759,1.26506,23.60617,3.22116
1.45000,6.00000,60.00000,42.62473,-1.83723,1.26497,23.74945,3.30629
1.46000,6.00000,60.00000,42.62507,-1.83691,1.26488,23.89209,3.39250
1.47000,6.00000,60.00000,42.62551,-1.83662,1.26480,24.03409,3.47976
1.48000,6.00000,60.00000,42.62602,-1.83636,1.26473,24.17543,3.56808
1.49000,6.00000,60.00000,42.62659,-1.83612,1.26467,24.31611,3.65744
1.50000,6.00000,60.00000,42.62719,-1.83591,1.26461,24.45612,3.74786
1.51000,6.00000,60.00000,42.62782,-1.83572,1.26456,24.59546,3.83931
1.52000,6.00000,60.00000,42.62846,-1.83556,1.26451,24.73411,3.93179
1.53000,6.00000,60.00000,42.62909,-1.83542,1.26447,24.87207,4.02531
1.54000,6.00000,60.00000,42.62972,-1.83529,1.26444,25.00933,4.11985
1.55000,6.00000,60.00000,42.63034,-1.83518,1.26441,25.14588,4.21541
1.56000,6.00000,60.00000,42.63093,-1.83509,1.26438,25.28172,4.31198
1.57000,6.00000,60.00000,42.63150,-1.83501,1.26436,25.41683,4.40956
1.58000,6.00000,60.00000,42.63204,-1.83494,1.26434,25.55122,4.50814
1.59000,6.00000,60.00000,42.63255,-1.83488,1.26432,25.68486,4.60772
1.60000,6.00000,60.00000,42.63302,-1.83483,1.26431,25.81777,4.70829
1.61000,6.00000,60.00000,42.63347,-1.83479,1.26429,25.94992,4.80985
1.62000,6.00000,60.00000,42.63389,-1.83476,1.26428,26.08131,4.91239
1.63000,6.00000,60.00000,42.63427,-1.83474,1.26428,26.21193,5.01590
1.64000,6.00000,60.00000,42.63462,-1.83472,1.26427,26.34178,5.12038
1.65000,6.00000,60.00000,42.63495,-1.83470,1.26426,26.47085,5.22583
1.66000,6.00000,60.00000,42.63524,-1.83469,1.26426,26.59913,5.33223
1.67000,6.00000,60.00000,42.63550,-1.83468,1.26426,26.72662,5.43959
1.68000,6.00000,60.00000,42.63574,-1.83468,1.26426,26.85330,5.54789
1.69000,6.00000,60.00000,42.63596,-1.83468,1.26425,26.97918,5.65713
1.70000,6.00000,60.00000,42.63615,-1.83468,1.26425,27.10424,5.76730
1.71000,6.00000,60.00000,42.63632,-1.83468,1.26425,27.22847,5.87841
1.72000,6.00000,60.00000,42.63648,-1.83469,1.26425,27.35187,5.99043
1.73000,6.00000,60.00000,42.63661,-1.83469,1.26426,27.47444,6.10337
1.74000,6.00000,60.00000,42.63673,-1.83470,1.26426,27.59616,6.21722
1.75000,6.00000,60.00000,42.63683,-1.83470,1.26426,27.71704,6.33197
1.76000,6.00000,60.00000,42.63692,-1.83471,1.26426,27.83705,6.44761
1.77000,6.00000,60.00000,42.63699,-1.83472,1.26426,27.95620,6.56415
1.78000,6.00000,60.00000,42.63706,-1.83472,1.26426,28.07449,6.68157
1.79000,6.00000,60.00000,42.63711,-1.83473,1.26426,28.19189,6.79986
1.80000,6.00000,60.00000,42.63716,-1.83474,1.26427,28.30841,6.91903
1.81000,6.00000,60.00000,42.63720,-1.83475,1.26427,28.42404,7.03906
1.82000,6.00000,60.00000,42.63723,-1.83475,1.26427,28.53877,7.15995
1.83000,6.00000,60.00000,42.63725,-1.83476,1.26427,28.65261,7.28169
1.84000,6.00000,60.00000,42.63727,-1.83476,1.26427,28.76553,7.40427
1.85000,6.00000,60.00000,42.63729,-1.83477,1.26427,28.87754,7.52769
1.86000,6.00000,60.00000,42.63730,-1.83477,1.26427,28.98862,7.65194
1.87000,6.00000,60.00000,42.63730,-1.83478,1.26428,29.09878,7.77701
1.88000,6.00000,60.00000,42.63731,-1.83478,1.26428,29.20800,7.90290
1.89000,6.00000,60.00000,42.63731,-1.83479,1.26428,29.31629,8.02959
1.90000,6.00000,60.00000,42.63731,-1.83479,1.26428,29.42363,8.15709
